player_number,last_name,test_date,jump_height_cm,mrsi,peak_force,time_to_peak_force_ms,mean_force_kg,time_to_takeoff_ms,asym_pct
201,Kakadiaris,2025-11-08,45,0.6,3001,315,2286,215,4
201,Kakadiaris,2025-11-08,37.4,0.41,2554,352,2355,197,13.5
201,Kakadiaris,2025-11-08,43.3,0.61,3138,315,2103,228,-2.1
201,Kakadiaris,2025-11-08,42.7,0.45,2668,310,2333,204,1.5
201,Kakadiaris,2025-11-08,37.3,0.62,3297,304,2222,226,-7.8
201,Kakadiaris,2025-11-08,37.9,0.5,2937,336,2427,214,1.7
201,Kakadiaris,2025-11-08,37.5,0.41,2807,299,2124,203,2.1
201,Kakadiaris,2025-11-08,41.6,0.46,3061,305,2133,178,-4.3
201,Kakadiaris,2025-11-08,38.6,0.59,3258,264,2310,220,6.4
201,Kakadiaris,2025-11-08,40.9,0.53,2819,348,2174,203,-1.5
201,Kakadiaris,2025-11-08,42.6,0.4,2501,280,2166,205,10.5
201,Kakadiaris,2025-11-08,43,0.61,3310,274,2076,229,3.9
201,Kakadiaris,2025-11-08,43.6,0.48,2863,300,2469,228,1.8
201,Kakadiaris,2025-11-08,42.7,0.53,3269,329,2316,187,-0.6
201,Kakadiaris,2025-11-08,40.7,0.61,2543,354,2160,169,4.4
201,Kakadiaris,2025-11-08,40.4,0.56,3098,268,2289,245,-2.6
201,Kakadiaris,2025-11-11,44,0.5,2884,288,2242,239,0.9
201,Kakadiaris,2025-11-11,38.7,0.44,2768,347,2429,214,-2.5
201,Kakadiaris,2025-11-11,39.6,0.44,2863,265,2320,209,8.7
201,Kakadiaris,2025-11-11,37.9,0.55,2943,325,2343,215,4.9
201,Kakadiaris,2025-11-11,42.9,0.61,2944,297,2335,176,2.4
201,Kakadiaris,2025-11-11,42,0.59,3322,300,2123,217,-1.7
201,Kakadiaris,2025-11-11,34.8,0.42,2692,305,2288,259,11.1
